Title	Content
"experimental investigation of the aerodynamics of awing in a slipstream ."	"experimental investigation of the aerodynamics of awing in a slipstream .  an experimental study of a wing in a propeller slipstream wasmade in order to determine the spanwise distribution of the liftincrease due to slipstream at different angles of attack of the wingand at different free stream to slipstream velocity ratios .  theresults were intended in part as an evaluation basis for differenttheoretical treatments of this problem .  the comparative span loading curves, together withsupporting evidence, showed that a substantial part of the lift incrementproduced by the slipstream was due to a /destalling/ orboundary-layer-control effect .  the integrated remaining liftincrement, after subtracting this destalling lift, was found to agreewell with a potential flow theory .  an empirical evaluation of the destalling effects was made forthe specific configuration of the experiment ."
"simple shear flow past a flat plate in an incompressible fluid of smallviscosity ."	"simple shear flow past a flat plate in an incompressible fluid of smallviscosity .in the study of high-speed viscous flow past a two-dimensional body itis usually necessary to consider a curved shock wave emitting from thenose or leading edge of the body .  consequently, there exists aninviscid rotational flow region between the shock wave and the boundarylayer .  such a situation arises, for instance, in the study of thehypersonic viscous flow past a flat plate .  the situation is somewhatdifferent from prandtl's classical boundary-layer problem . in prandtl'soriginal problem the inviscid free stream outside the boundary layer isirrotational while in a hypersonic boundary-layer problem the inviscidfree stream must be considered as rotational .  the possible effects ofvorticity have been recently discussed by ferri and libby .  in thepresent paper, the simple shear flow past a flat plate in a fluid of smallviscosity is investigated .  it can be shown that this problem can againbe treated by the boundary-layer approximation, the only novel featurebeing that the free stream has a constant vorticity .  the discussionhere is restricted to two-dimensional incompressible steady flow ."
"the boundary layer in simple shear flow past a flat plate ."	"the boundary layer in simple shear flow past a flat plate .the boundary-layer equations are presented for steadyincompressible flow with no pressure gradient ."
"approximate solutions of the incompressible laminarboundary layer equations for a plate in shear flow ."	"approximate solutions of the incompressible laminarboundary layer equations for a plate in shear flow .  the two-dimensional steady boundary-layerproblem for a flat plate in ashear flow of incompressible fluid is considered .solutions for the boundary-layer thickness, skin friction, and the velocitydistribution in the boundarylayer are obtained by the karman-pohlhausentechnique .  comparison withthe boundary layer of a uniform flow has alsobeen made to show the effect ofvorticity ."
"one-dimensional transient heat conduction into a double-layerslab subjected to a linear heat input for a small timeinternal ."	"one-dimensional transient heat conduction into a double-layerslab subjected to a linear heat input for a small timeinternal .  analytic solutions are presented for the transient heatconduction in composite slabs exposed at one surface to atriangular heat rate .  this type of heating rate may occur, forexample, during aerodynamic heating ."
"one-dimensional transient heat flow in a multilayerslab ."	"one-dimensional transient heat flow in a multilayerslab .  in a recent contribution to the readers'forum wassermann gave analyticsolutions for the temperature in a doublelayer slab, with a triangular heatrate input at one face, insulated at the other,and with no thermal resistanceat the interface .  his solutions were for thethree particular cases..i propose here to give the general solutionto this problem, to indicatebriefly how it is obtained using the method ofreference 2, and to point outthat the solutions given by wassermann areincomplete for times longerthan the duration of the heat input ."
"the effect of controlled three-dimensional roughnesson boundary layer transition at supersonic speeds ."	"the effect of controlled three-dimensional roughnesson boundary layer transition at supersonic speeds .  experiments were performed in the 12-in. supersonic windtunnel of the jet propulsion laboratory of the californiainstitute of technology to investigate the effect of three-dimensionalroughness elements (spheres) on boundary-layer transition on atained at local mach numbers of 1.90, 2.71, and 3.67 by varyingtrip size, position, spacing, and reynolds number per inch .the results indicate that (1) transition from laminar to turbulentflow induced by three-dimensional roughness elements beginswhen the double row of spiral vortices trailing each elementcontaminates and breaks down the surrounding field of vorticity, (2)transition appears rather suddenly, becoming more violent withincreasing roughness height relative to the boundary-layerthickness, (3) after the breakdown of the vorticity field, the strengthof the spiral vortices may still persist in the sublayer of theensuing turbulent flow, (4) lateral spacing of roughness elements haslittle effect upon the initial breakdown (contamination) of thelaminar flow, and (5) the trip reynolds number where uand v are the velocity and kinematic viscosity at the outer edge ofthe boundary layer and k is roughness height, such that transitionoccurs at the roughness position, varies as the position reynoldsnumber to the one-fourth power, viz., where x istrip position ."
"measurements of the effect of two-dimensional and three-dimensionalroughness elements on boundary layer transition ."	"measurements of the effect of two-dimensional and three-dimensionalroughness elements on boundary layer transition .in his study of the effect of roughness on transition, h. l.dryden found, on the basis of available data, that the effectof a two-dimensional roughness element such as a /trip wire/could be represented reasonably well in terms of a functionalrelation between and, where is the reynolds numberof transition based on distance from the leading edge, is theheight of the roughness element, and is the boundary-layerdisplacement thickness at the position of the element .  at hissuggestion some additional data were obtained, primarily toextend the range to higher values of, during the course of aninvestigation of transition on a flat plate conducted at thenational bureau of standards .  after the results on the two-dimensional roughness elements were obtained, it appeared to bedesirable to see whether a row of three-dimensional roughnesselements would behave in the same way ."
"transition studies and skin friction measurements onan insulated flat plate at a mach number of 5.8 ."	"transition studies and skin friction measurements onan insulated flat plate at a mach number of 5.8 .  an investigation of transition and skin friction on an insulatedflat plate, 5 by 26 in., was made in the galcit 5 by 5 in.hypersonic wind tunnel at a nominal mach number of 5.8 .  the phosphorescent lacquer technique was used for transitiondetection and was found to be in good agreement with total-headrake measurements along the plate surface and pitot boundary-layer surveys .  it was found that the boundary layer waslaminar at reynolds numbers of at least 5 x 10 .  transversecontamination caused by the turbulent boundary layer on thetunnel sidewall originated far downstream of the flat plate leadingedge at reynolds numbers of 1.5 to 2 x 10, and spread at auniform angle of 5 compared to 9 degree in low-speed flow .  the effect of two-dimensional and local disturbances wasinvestigated .  the technique of air injection into the boundarylayer as a means of hastening transition was extensively used .although the onset of transition occurred at reynolds numbersas low as 10, a fully developed turbulent boundary layer wasnot obtained at reynolds numbers much below 2 x 10regardless of the amount of air injected .  a qualitative discussion of these results is given with emphasison the possibility of a greater stability of the laminar boundarylayer in hypersonic flow than at lower speeds .  direct skin-friction measurements were made by means of thefloating element technique, over a range of reynolds numbersverified as being laminar over the complete range .  with airinjection, turbulent shear was obtained only for reynoldsnumbers greater than 2 x 10, this value being in good agreement withearlier results of this investigation .  the turbulent skin-frictioncoefficient was found to be approximately 0.40 of that forincompressible flow for a constant value of r, and 0.46 for an effectivereynolds number between 5 and 6 x 10 ."
"the theory of the impact tube at low pressure ."	"the theory of the impact tube at low pressure .  a theoretical analysis has been made for an impact tube of therelation between free-stream mach number and the impact andfree-stream pressures and densities for extremely low pressures .it is shown that the results differ appreciably from thecorresponding continuum relations ."
